"","Group.1","x"
"1223","34478",1
"1224","34479",215
"1225","34480",351
"1226","34481",541
"1227","34482",406
"1228","34484",1
"1229","34487",1
"1230","34488",224
"1231","34491",576
"1232","34601",192
"1233","34602",2
"1234","34604",113
"1235","34606",643
"1236","34607",214
"1237","34608",474
"1238","34609",609
"1239","34610",214
"1240","34613",284
"1241","34614",2
"1242","34637",113
"1243","34638",112
"1244","34639",542
"1245","34652",417
"1246","34653",621
"1247","34654",587
"1248","34655",296
"1249","34667",125
"1250","34668",364
"1251","34669",417
"1252","34677",318
"1253","34683",351
"1254","34684",191
"1255","34685",530
"1256","34688",326
"1257","34689",214
"1258","34690",474
"1259","34691",588
"1260","34695",519
"1261","34697",1
"1262","34698",181
"1263","34711",203
"1264","34714",261
"1265","34715",326
"1266","34731",25
"1267","34734",2
"1268","34736",474
"1269","34737",1
"1270","34741",347
"1271","34743",474
"1272","34744",192
"1273","34746",136
"1274","34747",329
"1275","34748",280
"1276","34749",1
"1277","34753",214
"1278","34756",1
"1279","34759",260
"1280","34760",1
"1281","34761",292
"1282","34762",1
"1283","34769",125
"1284","34770",1
"1285","34771",113
"1286","34772",282
"1287","34785",508
"1288","34786",564
"1289","34787",114
"1290","34788",406
"1291","34797",1
"1292","34946",261
"1293","34947",565
"1294","34949",2
"1295","34950",125
"1296","34951",372
"1297","34952",103
"1298","34953",621
"1299","34956",394
"1300","34957",561
"1301","34972",406
"1302","34974",48
"1303","34982",159
"1304","34983",520
"1305","34984",428
"1306","34986",249
"1307","34987",224
"1308","34990",496
"1309","34994",326
"1310","34995",1
"1311","34996",307
"1312","34997",257
"1313","35004",474
"1314","35005",112
"1315","35006",1
"1316","35007",362
"1317","35010",362
"1318","35011",1
"1319","35016",340
"1320","35019",1
"1321","35020",158
"1322","35021",1
"1323","35022",340
"1324","35023",496
"1325","35031",2
"1326","35033",1
"1327","35034",261
"1328","35040",296
"1329","35042",215
"1330","35043",283
"1331","35044",261
"1332","35045",361
"1333","35046",113
"1334","35048",1
"1335","35049",1
"1336","35051",496
"1337","35054",1
"1338","35055",344
"1339","35057",576
"1340","35058",215
"1341","35061",113
"1342","35062",372
"1343","35063",112
"1344","35064",610
"1345","35068",216
"1346","35071",295
"1347","35072",113
"1348","35073",1
"1349","35074",1
"1350","35077",317
"1351","35078",113
"1352","35079",1
"1353","35080",406
"1354","35083",1
"1355","35085",317
"1356","35089",112
"1357","35091",1
"1358","35094",384
"1359","35096",112
"1360","35111",2
"1361","35112",1
"1362","35115",113
"1363","35116",113
"1364","35117",215
"1365","35118",1
"1366","35120",2
"1367","35121",318
"1368","35124",208
"1369","35125",542
"1370","35126",428
"1371","35127",1
"1372","35128",372
"1373","35130",1
"1374","35131",2
"1375","35133",1
"1376","35135",1
"1377","35136",1
"1378","35146",295
"1379","35147",2
"1380","35148",406
"1381","35150",384
"1382","35151",2
"1383","35160",48
"1384","35171",1
"1385","35172",1
"1386","35173",395
"1387","35175",1
"1388","35178",1
"1389","35179",326
"1390","35180",496
"1391","35184",214
"1392","35186",2
"1393","35188",372
"1394","35203",632
"1395","35204",372
"1396","35205",598
"1397","35206",541
"1398","35207",372
"1399","35208",351
"1400","35209",437
"1401","35210",351
"1402","35211",610
"1403","35212",305
"1404","35213",307
"1405","35214",530
"1406","35215",407
"1407","35216",255
"1408","35217",273
"1409","35218",394
"1410","35221",1
"1411","35222",249
"1412","35223",609
"1413","35224",113
"1414","35226",587
"1415","35228",406
"1416","35232",1
"1417","35233",340
"1418","35234",261
"1419","35235",418
"1420","35242",180
"1421","35243",514
"1422","35244",322
"1423","35255",1
"1424","35260",1
"1425","35401",347
"1426","35403",1
"1427","35404",233
"1428","35405",450
"1429","35406",260
"1430","35441",1
"1431","35442",474
"1432","35443",1
"1433","35444",112
"1434","35446",1
"1435","35447",224
"1436","35453",215
"1437","35456",215
"1438","35462",282
"1439","35464",1
"1440","35466",113
"1441","35470",224
"1442","35473",214
"1443","35474",260
"1444","35475",1
"1445","35476",484
"1446","35481",326
"1447","35501",524
"1448","35503",428
"1449","35504",113
"1450","35540",112
"1451","35549",215
"1452","35553",224
"1453","35555",587
"1454","35563",215
"1455","35565",296
"1456","35570",519
"1457","35574",112
"1458","35575",1
"1459","35576",1
"1460","35578",1
"1461","35579",1
"1462","35580",112
"1463","35581",1
"1464","35582",261
"1465","35586",112
"1466","35592",261
"1467","35594",576
"1468","35601",443
"1469","35602",113
"1470","35603",306
"1471","35611",221
"1472","35613",474
"1473","35614",112
"1474","35616",1
"1475","35618",1
"1476","35619",1
"1477","35620",224
"1478","35621",1
"1479","35622",1
"1480","35630",460
"1481","35631",1
"1482","35633",554
"1483","35634",474
"1484","35640",351
"1485","35643",1
"1486","35645",112
"1487","35646",112
"1488","35648",112
"1489","35649",1
