"","GEO.id2","ESTAB"
"330352","33980","1"
"330902","33983","1"
"331013","33990","1"
"331867","33993","2"
"332085","34102","11"
"332761","34103","3"
"333218","34104","9"
"333684","34105","2"
"333911","34108","1"
"334309","34109","2"
"334873","34110","6"
"335324","34112","5"
"335740","34113","2"
"336021","34114","1"
"336281","34116","1"
"336564","34117","1"
"336641","34119","3"
"337065","34134","2"
"337499","34135","6"
"338084","34142","2"
"338352","34145","5"
"339093","34202","4"
"339396","34203","2"
"339843","34205","5"
"340407","34207","8"
"340935","34208","3"
"341388","34209","2"
"341764","34210","2"
"342163","34211","1"
"342425","34215","1"
"342501","34216","2"
"342588","34217","5"
"342899","34219","3"
"343087","34221","4"
"343870","34223","1"
"344244","34224","2"
"344722","34229","3"
"345041","34231","13"
"345721","34232","9"
"346209","34233","2"
"346698","34234","4"
"347129","34235","2"
"347306","34236","12"
"347901","34237","2"
"348215","34238","5"
"348646","34239","6"
"349180","34240","4"
"349444","34241","1"
"349765","34243","3"
"350260","34250","1"
"350437","34266","1"
"350913","34275","4"
"351226","34285","9"
"351809","34286","2"
"351906","34287","1"
"352320","34291","1"
"352352","34292","2"
"352673","34293","6"
"353156","34420","4"
"353598","34428","4"
"353945","34429","4"
"354481","34432","7"
"354772","34433","3"
"354929","34436","1"
"355079","34442","2"
"355312","34446","3"
"355556","34448","1"
"355777","34449","1"
"355870","34450","2"
"356218","34452","1"
"356353","34453","3"
"356768","34461","4"
"357042","34465","2"
"357215","34470","5"
"357768","34471","3"
"358289","34472","2"
"358649","34474","7"
"359283","34475","4"
"359774","34476","2"
"360005","34479","2"
"360174","34480","2"
"360519","34481","3"
"361069","34484","1"
"361183","34488","3"
"361363","34491","2"
"361713","34601","2"
"362431","34606","7"
"363060","34608","3"
"363293","34609","5"
"363598","34610","2"
"363746","34613","1"
"364170","34614","1"
"364282","34638","1"
"364389","34639","7"
"364718","34652","7"
"365798","34655","3"
"366198","34661","1"
"366213","34667","8"
"366729","34668","6"
"367352","34669","4"
"367613","34677","2"
"368063","34683","4"
"368407","34684","9"
"368901","34685","2"
"369103","34688","2"
"369235","34689","7"
"369792","34690","3"
"369983","34691","3"
"370272","34695","2"
"370498","34698","11"
"371020","34705","1"
"371057","34711","7"
"371767","34715","2"
"371951","34731","2"
"372245","34736","4"
"372478","34741","11"
"373157","34743","2"
"373363","34744","11"
"373918","34746","16"
"374400","34747","3"
"374715","34748","6"
"375543","34759","1"
"375815","34761","5"
"376368","34769","3"
"377191","34777","1"
"377232","34785","1"
"377558","34786","1"
"377801","34787","5"
"378845","34945","1"
"378905","34946","2"
"379110","34947","2"
"379364","34949","1"
"379452","34950","3"
"379850","34951","1"
"380021","34952","8"
"380515","34953","6"
"381011","34957","4"
"381595","34972","3"
"381992","34973","1"
"382007","34974","3"
"382493","34982","7"
"383016","34983","4"
"383243","34984","3"
"383513","34986","4"
"383898","34987","1"
"384117","34990","3"
"384405","34994","5"
"385109","34996","1"
"385415","34997","15"
"385989","35004","2"
"386174","35005","3"
"386323","35007","1"
"386735","35010","3"
"387245","35016","1"
"387687","35020","3"
"388168","35022","1"
"388514","35023","2"
"389109","35040","1"
"389377","35042","1"
"389878","35045","4"
"390821","35055","13"
"391471","35056","1"
"392686","35071","2"
"393137","35073","1"
"393244","35077","3"
"393575","35079","1"
"393642","35080","1"
"393848","35085","1"
"394119","35094","2"
"394776","35115","3"
"395166","35118","1"
"395236","35120","1"
"395360","35121","1"
"395698","35124","6"
"396241","35125","1"
"396579","35126","1"
"396887","35128","1"
"397798","35150","1"
"398326","35160","3"
"398808","35172","1"
"398865","35173","2"
"399427","35179","1"
"399527","35180","1"
"400093","35203","4"
"400571","35205","3"
"400870","35206","4"
"401178","35207","2"
"401362","35208","1"
"401617","35209","8"
"402328","35210","3"
"403081","35213","2"
"403969","35216","3"
"404590","35217","1"
"404814","35218","1"
"405021","35221","1"
"405059","35222","1"
"405334","35223","5"
"405995","35228","2"
"406203","35229","1"
"406264","35233","2"
"406665","35234","1"
"406791","35235","2"
"407292","35242","5"
"407885","35243","3"
"408375","35244","8"
"409077","35401","8"
"409743","35403","1"
"409796","35404","2"
"410276","35405","3"
"410814","35406","1"
"411278","35444","1"
"411495","35453","1"
"411927","35466","1"
"412431","35475","2"
"412555","35476","1"
"413257","35501","8"
"413799","35503","1"
"414594","35552","1"
"414764","35555","3"
"415548","35570","4"
"415834","35572","1"
"415873","35574","1"
"415930","35576","2"
"416299","35582","1"
"416649","35592","2"
"416849","35594","5"
"417097","35601","10"
"417855","35603","3"
"418348","35611","5"
"418932","35613","1"
"419364","35619","1"
"419712","35630","9"
"420502","35633","1"
"420736","35634","1"
"420947","35640","4"
"421385","35645","1"
"422078","35652","2"
"422270","35653","5"
"422711","35660","1"
"422944","35661","4"
"423442","35670","1"
"423729","35673","1"
"423880","35674","2"
"424163","35739","2"
"424474","35744","1"
"424821","35750","1"
"425321","35757","2"
"425463","35758","6"
"426248","35761","1"
"426342","35763","1"
"426624","35768","7"
"427275","35771","1"
"427531","35773","1"
"427674","35801","9"
"428416","35802","6"
"428908","35803","3"
"429252","35805","3"
"429634","35806","4"
"430250","35810","1"
"430602","35811","3"
"430893","35816","1"
"431505","35901","8"
"432613","35905","1"
"432722","35906","4"
"433016","35907","1"
"433146","35950","3"
"433675","35952","1"
"433953","35954","2"
"434294","35957","3"
"434729","35959","1"
"434834","35960","5"
"435507","35967","4"
"436121","35971","1"
"436398","35976","1"
"437083","35983","2"
"437238","35986","2"
"438157","36024","1"
"438362","36027","5"
"438726","36028","1"
"438845","36033","1"
"439003","36037","3"
"439580","36047","1"
"439636","36049","1"
"439845","36054","3"
"440230","36066","2"
"440644","36067","1"
"441092","36075","1"
"441123","36078","1"
"441362","36079","1"
"441610","36081","6"
"442080","36083","3"
"442262","36089","1"
"442459","36092","5"
"443056","36104","3"
"443665","36106","1"
"444296","36108","2"
"444590","36109","2"
"444960","36110","1"
"445463","36116","3"
"445936","36117","7"
"446660","36201","7"
"447175","36203","9"
"448247","36250","1"
"448558","36256","1"
"448765","36264","2"
"448940","36265","1"
"449200","36266","1"
"449457","36271","1"
"449564","36272","1"
"449827","36274","2"
"450164","36277","1"
"450392","36280","1"
"450477","36301","6"
"451165","36303","8"
"452893","36323","1"
"453075","36330","6"
"453655","36340","1"
"453932","36344","2"
"454082","36345","1"
"454456","36352","1"
"454542","36360","3"
"455454","36420","5"
"456070","36426","3"
"456483","36435","1"
"456679","36442","1"
"456979","36451","3"
"457254","36460","1"
"457632","36467","3"
"457979","36473","1"
"458034","36475","1"
"458343","36502","6"
"458746","36507","2"
"459438","36522","2"
"459773","36526","1"
"460283","36527","1"
"460702","36528","1"
"460783","36530","1"
"460904","36532","9"
"461406","36533","1"
"461446","36535","7"
"462083","36536","1"
"462214","36541","1"
"462367","36542","3"
"462769","36544","1"
"462866","36545","3"
"463332","36551","1"
"463609","36558","1"
"463743","36561","2"
"464129","36567","1"
"464465","36571","1"
"464827","36572","1"
"464933","36575","1"
"465321","36580","1"
"465454","36582","3"
"465925","36602","3"
"466146","36603","1"
"466271","36604","1"
"466505","36605","2"
"466761","36606","6"
"467392","36607","1"
"467756","36608","2"
"468390","36609","2"
"468793","36610","2"
"469614","36618","1"
"469822","36619","2"
"470250","36693","2"
"470559","36695","1"
"470972","36701","3"
"471477","36703","2"
"471776","36726","1"
"472000","36732","3"
"472361","36736","1"
"472424","36744","2"
"472632","36748","1"
"472971","36756","1"
"473156","36759","1"
"473239","36767","1"
"473479","36784","3"
"473841","36786","2"
"473973","36801","9"
"474634","36804","1"
"474775","36830","5"
"475641","36852","1"
"475691","36853","1"
"475928","36854","4"
"476337","36861","1"
"476517","36863","4"
"476871","36867","4"
"477597","36874","1"
"478049","36907","1"
"478091","36908","1"
"478305","36919","1"
"478492","71601","5"
"478987","71602","1"
"479262","71603","4"
"479786","71635","3"
"480569","71646","1"
"480753","71652","1"
"480781","71653","1"
"480982","71654","2"
"481191","71655","4"
"482037","71671","1"
"482295","71701","8"
"482740","71711","1"
"482908","71730","7"
"483598","71742","3"
"483887","71743","1"
"484218","71753","6"
"484834","71764","2"
"484927","71765","1"
"485128","71801","2"
"485506","71822","1"
"485792","71832","1"
"486194","71836","1"
"486506","71846","1"
"486940","71854","2"
"487719","71901","11"
"488322","71909","1"
"488605","71913","10"
"489394","71923","1"
"490064","71943","1"
"490266","71949","1"
"490326","71953","3"
"490958","71960","1"
"491001","71964","1"
"491166","72002","1"
"491348","72006","2"
"491540","72010","1"
"491696","72012","1"
"491996","72015","4"
"492486","72016","1"
"492604","72019","2"
"493105","72022","1"
"493490","72023","6"
"493968","72024","1"
"494084","72025","1"
"494269","72031","3"
"494524","72032","5"
"495216","72034","1"
"495865","72042","2"
"496061","72044","1"
"496309","72058","4"
"496559","72064","1"
"496748","72067","2"
"496972","72072","1"
"497015","72076","5"
"497637","72083","1"
"497689","72086","2"
"497998","72099","1"
"498053","72101","1"
"498189","72103","1"
"498335","72104","5"
"498707","72106","1"
"498865","72110","3"
"499201","72112","4"
"499842","72114","2"
"500195","72116","2"
"500713","72117","1"
"501121","72118","2"
"501469","72120","4"
"501961","72126","1"
"502155","72131","1"
"502459","72143","3"
"503084","72150","2"
"503399","72160","3"
"503801","72173","1"
"503916","72176","1"
"504074","72201","1"
"504346","72202","1"
"504724","72204","2"
"505165","72205","7"
"505694","72206","1"
"505950","72207","3"
"506356","72209","7"
"506855","72210","1"
"507028","72211","1"
"507523","72212","3"
"507965","72223","5"
"508325","72227","1"
"508641","72301","3"
"509087","72315","5"
"509724","72333","1"
"509752","72335","5"
"510602","72355","1"
"510635","72358","1"
"511249","72370","2"
"512077","72396","5"
"512428","72401","11"
"513340","72404","1"
"513686","72413","1"
"513844","72417","1"
"514012","72422","1"
"514196","72432","1"
"515126","72450","7"
"515729","72454","2"
"515870","72455","3"
"516229","72461","3"
"516747","72476","2"
"517045","72501","4"
"517965","72521","1"
"518346","72539","3"
"518575","72543","3"
"519004","72550","1"
"519034","72554","1"
"519300","72560","4"
"519744","72568","1"
"519846","72576","1"
"520063","72601","3"
"520693","72616","1"
"521022","72619","1"
"521173","72631","2"
"521293","72632","6"
"522059","72641","2"
"522190","72644","1"
"522284","72650","2"
"522441","72651","3"
"522524","72653","14"
"523165","72658","1"
"523275","72675","1"
"523333","72677","1"
"523540","72701","4"
"524145","72703","7"
"524790","72704","3"
"525104","72712","5"
"526346","72734","4"
"526680","72740","4"
"527211","72751","1"
